Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1007553	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007554	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007555	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007556	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007557	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007558	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007559	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007560	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007561	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008917	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008918	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008919	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008920	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008921	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008922	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008923	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008924	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008925	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008926	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008927	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008928	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008957	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008958	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008959	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008960	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008961	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008962	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008963	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008964	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1008965	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009165	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009251	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009257	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009260	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009834	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009863	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009867	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009968	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009969	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1009973	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010098	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010102	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010106	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010109	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010265	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010590	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010747	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010749	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1010843	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011198	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011499	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011500	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011501	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011502	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011506	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011545	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011547	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011548	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011551	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011552	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011574	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011577	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011578	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011588	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011598	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011631	GG	21		5F	II	"P207, LP200"				D	1950	AEROSOLS			1	0	0	0		0	False		0		0	0	0	"0,45"	0	LQ
1011634	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011642	GG	21		5F	II	"P207, LP200"				D	1950	AEROSOLS			1	0	0	0		0	False		0		0	0	0	"0,4"	0	LQ
1011668	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011670	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011671	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011676	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011677	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011680	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011683	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011686	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011709	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011720	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011723	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011724	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011725	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011726	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1011728	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1012389	GG	21		5TF	II	"P207, LP200"				D	1950	AEROSOLS			1	0	0	0		0	False		0		0	0	0	"0,4"	0	LQ
1013748	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1014647	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1014649	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015149	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015600	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015683	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015834	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015840	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015842	GG	21		6F	II	P002				D	1057	"LIGHTER REFILLS"			0	0	0	0		0	False		0		0	0	0	"13,35"	0	DG
1015902	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
