artikelnummer,max,pallid
12475-007-7-R,7.0,999124907
12475-007-8-R,6.0,2441078
12475-007-8.5-R,6.0,2713911
12475-007-9-R,4.0,999119004
12475-007-9.5-R,6.0,3316092
12475-389-10-R,6.0,2326270
12475-389-10.5-R,60.0,2222588
12475-389-11-R,47.0,2621049
12475-389-12-R,6.0,3894631
12475-389-13-R,6.0,2885942
12475-389-14-R,5.0,999119015
12475-389-5-R,5.0,999119008
12475-389-6-R,1.0,2885945
12475-389-7-R,6.0,2713494
12475-389-7.5-R,6.0,2326463
12475-389-8-R,6.0,2885869
12475-389-8.5-R,6.0,2885951
12475-389-9-R,6.0,999124909
12475-389-9.5-R,6.0,2885927
12475-828-10-R,4.0,3817486
12475-828-10.5-R,5.0,4098032
12475-828-11-R,3.0,3816289
12475-828-14-R,1.0,999124719
12476-007-10-R,6.0,2326850
12476-007-10.5-R,6.0,2326258
12476-007-11-R,6.0,999124727
12476-007-5-R,5.0,4230580
12476-007-7-R,3.0,999119020
12476-007-7.5-R,6.0,2326838
12476-007-8.5-R,6.0,2326837
12476-007-9-R,6.0,2326844
12476-007-9.5-R,6.0,2326533
12476-019-10.5-R,6.0,3567836
12476-721-10-R,6.0,3859569
12476-721-10.5-R,48.0,3013794
12476-721-12-R,3.0,4098077
12476-721-5-R,5.0,4098087
12476-721-7-R,8.0,999124915
12476-721-8.5-R,6.0,1857017
12476-721-9-R,6.0,999124746
12476-828-10.5-R,6.0,3455125
12476-828-7-R,2.0,3815790
12476-975-6-R,11.0,999124916
12477-019-10-R,6.0,2723206
12477-019-10.5-R,6.0,2723011
12477-019-11-R,6.0,2723046
12477-019-12-R,6.0,4220249
12477-019-7-R,6.0,4220260
124871,3.0,1869921
12488-007-10.5-R,6.0,3302602
12488-007-7-R,6.0,2718386
12488-186-10-R,6.0,2887606
12488-186-10.5-R,6.0,2718458
12488-186-11-R,6.0,2758563
12488-186-4-R,1.0,999124759
12488-186-8.5-R,6.0,2887653
12488-721-10-R,6.0,3404026
12488-721-10.5-R,59.0,3984959
12488-721-4-R,4.0,999119039
12488-721-5-R,5.0,999119064
12488-721-7-R,6.0,2005680
12488-721-8.5-R,6.0,3893736
12488-934-10.5-R,6.0,2711861
12491-170-13-R,1.0,999124751
12492-007-10-R,3.0,999119041
12492-007-11-R,3.0,999119042
12492-007-12-R,2.0,999124753
12493-007-10-R,3.0,999119043
12493-007-11-R,2.0,4098162
12493-007-12-R,2.0,999124775
12498-389-10-R,6.0,2642049
12498-389-10.5-R,6.0,2713665
12498-389-11-R,6.0,2713647
12498-389-11.5-R,6.0,2163554
12498-389-12-R,6.0,2713619
12498-389-13-R,6.0,2642005
12498-389-14-R,6.0,2895432
12498-389-15-R,4.0,999119077
12498-389-4-R,2.0,999124836
12498-389-6-R,6.0,2642043
12498-389-7-R,6.0,2642033
12498-389-8-R,6.0,2713656
12498-389-8.5-R,6.0,2713654
12498-389-9-R,6.0,2713643
12498-389-9.5-R,6.0,2713629
124987,4.0,1862485
12499-389-10-R,6.0,2713717
12499-389-10.5-R,6.0,2713703
12499-389-11-R,6.0,2712426
12499-389-11.5-R,6.0,2713710
12499-389-12-R,6.0,2711670
12499-389-13-R,5.0,3114029
12499-389-14-R,6.0,2713709
12499-389-7-R,5.0,999119050
12499-389-8-R,6.0,2713676
12499-389-8.5-R,6.0,2713730
12499-389-9-R,6.0,2713722
12499-389-9.5-R,6.0,2713726
12500-109-11.5-R,4.0,3894776
12500-109-4-R,6.0,2766694
12500-109-5-R,4.0,999119086
12500-109-7-R,3.0,999119088
12500-109-8.5-R,6.0,2311137
12500-122-10-R,5.0,3897049
12500-122-10.5-R,6.0,3455195
12500-122-11-R,6.0,3455194
12500-122-7.5-R,4.0,3817438
12500-122-8.5-R,6.0,3455273
12500-589-10-R,6.0,2929187
12500-589-10.5-R,6.0,2929196
12500-589-11-R,6.0,2928672
12500-589-11.5-R,6.0,3975034
12500-589-12-R,6.0,2929210
12500-589-7-R,5.0,999119062
12500-589-8-R,5.0,999124756
12500-589-8.5-R,6.0,2929164
12500-589-9-R,6.0,2928275
12500-589-9.5-R,6.0,2929176
12502-019-10-R,6.0,2641935
12502-019-10.5-R,6.0,2642221
12502-019-11-R,6.0,2641885
12502-019-11.5-R,5.0,3286929
12502-019-12-R,6.0,2641663
12502-019-13-R,6.0,2641652
12502-019-14-R,5.0,2653564
12502-019-15-R,5.0,3677808
12502-019-4-R,6.0,2641926
